bytes-length,msec,bandwidth,processor
16,0.00694990158081,2.19554030875,0
32,0.00574588775635,5.3112033195,0
64,0.00590085983276,10.3434343434,0
128,0.00579357147217,21.0699588477,0
256,0.00605583190918,40.3149606299,0
512,0.0101566314697,48.0751173709,0
1024,0.0128984451294,75.7116451017,0
2048,0.110054016113,17.7469670711,0
4096,0.0435948371887,89.6035001367,0
8192,0.0536918640137,145.506216696,0
16384,0.224792957306,69.5084053667,0
32768,0.616192817688,50.714644999,0
65536,0.962042808533,64.9659240168,0
131072,8.31199884415,15.0385006475,0
262144,14.9866938591,16.6814643944,0
524288,5.52594661713,90.4822349261,0
1048576,9.98309850693,100.169301075,0
2097152,20.2935576439,98.5534441568,0
4194304,40.2590990067,99.3564212487,0
8388608,176.940751076,45.2128746564,0
16777216,247.484147549,64.6506055377,0
33554432,498.587703705,64.1812859848,0
67108864,994.017148018,64.3852071643,0
16,0.0105023384094,1.45289443814,1
32,0.0077486038208,3.93846153846,1
64,0.00830888748169,7.34576757532,1
128,0.00849962234497,14.3618513324,1
256,0.00884532928467,27.6010781671,1
512,0.01060962677,46.0224719101,1
1024,0.0128507614136,75.9925788497,1
2048,0.110602378845,17.6589782281,1
4096,0.0437498092651,89.2861035422,1
8192,0.169551372528,46.0774801378,1
16384,0.411701202393,37.9522816771,1
32768,1.00849866867,30.9866546886,1
65536,1.97739601135,31.6072246739,1
131072,7.8379034996,15.9481422559,1
262144,14.4385576248,17.3147489172,1
524288,5.52650690079,90.4730617325,1
1048576,9.98294353485,100.170856072,1
2097152,20.2942013741,98.5503180508,1
4194304,40.2561903,99.3636002362,1
8388608,177.041196823,45.1872227682,1
16777216,247.609198093,64.6179549193,1
33554432,498.624205589,64.176587581,1
67108864,993.926751614,64.391062919,1
16,0.00779628753662,1.95718654434,2
32,0.00669956207275,4.55516014235,2
64,0.00699758529663,8.72231686542,2
128,0.00790357589722,15.4449472097,2
256,0.00710487365723,34.3624161074,2
512,0.0107407569885,45.4605993341,2
1024,0.0127553939819,76.5607476636,2
2048,0.110352039337,17.6990385654,2
4096,0.0405550003052,96.3198118754,2
8192,0.16770362854,46.5851578049,2
16384,0.411701202393,37.9522816771,2
32768,1.00820064545,30.9958143165,2
65536,1.97739601135,31.6072246739,2
131072,7.83514976501,15.9537473755,2
262144,14.4385576248,17.3147489172,2
524288,5.52725791931,90.4607686667,2
1048576,9.98394489288,100.160809252,2
2097152,20.2946066856,98.5483498636,2
4194304,40.2532458305,99.3708685466,2
8388608,177.150201797,45.1594179336,2
16777216,247.796094418,64.5692178386,2
33554432,498.810505867,64.1526183262,2
67108864,994.169902802,64.3753143398,2
16,0.011146068573,1.36898395722,3
32,0.0107407569885,2.84128745838,3
64,0.0102519989014,5.95348837209,3
128,0.00929832458496,13.1282051282,3
256,0.00824928283691,29.5953757225,3
512,0.0110030174255,44.3770314193,3
1024,0.012743473053,76.6323666978,3
2048,0.808894634247,2.4145604598,3
4096,0.546455383301,7.14834205934,3
8192,0.54224729538,14.4076329501,3
16384,0.941348075867,16.5985360788,3
32768,1.84299945831,16.9560549023,3
65536,3.47144603729,18.0040246423,3
131072,8.22539329529,15.1968417208,3
262144,15.0874495506,16.5700636918,3
524288,5.52769899368,90.4535504866,3
1048576,9.98464822769,100.153753762,3
2097152,20.2955007553,98.5440085521,3
4194304,40.351498127,99.1289093508,3
8388608,177.260398865,45.1313437814,3
16777216,248.054802418,64.5018755696,3
33554432,499.180448055,64.1050748776,3
67108864,994.720351696,64.3396909402,3
16,0.0513911247253,0.29691486894,4
32,0.0423908233643,0.719910011249,4
64,0.0332593917847,1.83512544803,4
128,0.0367522239685,3.32144015569,4
256,0.0394582748413,6.18731117825,4
512,0.0674962997437,7.23419286471,4
1024,0.117695331573,8.29737668389,4
2048,0.774443149567,2.52197337028,4
4096,0.547552108765,7.1340242097,4
8192,0.544655323029,14.3439339885,4
16384,0.943052768707,16.5685320254,4
32768,1.80765390396,17.287601311,4
65536,3.39214801788,18.4249035332,4
131072,8.30869674683,15.0444773481,4
262144,15.1707053185,16.4791283432,4
524288,5.9021115303,84.7154441987,4
1048576,10.6340050697,94.0379465162,4
2097152,20.8724975586,95.8198698735,4
4194304,42.2337532043,94.7109763285,4
8388608,177.306199074,45.1196858417,4
16777216,248.121058941,64.4846514371,4
33554432,499.210393429,64.1012295041,4
67108864,994.514751434,64.3529921579,4
16,0.0493407249451,0.309253442861,5
32,0.0403523445129,0.756277695716,5
64,0.0308036804199,1.98142414861,5
128,0.0360012054443,3.39072847682,5
256,0.0398993492126,6.11891245892,5
512,0.0365495681763,13.3594259622,5
1024,0.116205215454,8.40377513336,5
2048,0.144302845001,13.5349029327,5
