amount-np,amount-thread-mops,total-mops,execution-time,speed-up,efficiency
8,2145.19,17161.51,3000.72,8.00
12,2080.27,24963.22,2062.91,11.98
16,2046.27,32740.25,1572.89,16.00
20,1927.25,38545.02,1336.02,19.94
24,1871.53,44916.77,1146.50,23.95
28,1881.05,52669.48,977.74,27.93
32,1846.40,59084.93,871.57,31.98
