bytes-length,msec,bandwidth,processor
16,0.0157594680786,0.968229954614,0
32,0.012993812561,2.34862385321,0
64,0.0136017799377,4.48729184926,0
128,0.0136971473694,8.91209747607,0
256,0.0141501426697,17.2535804549,0
512,0.0149011611938,32.768,0
1024,0.0193476676941,50.4744300678,0
2048,0.0257015228271,75.9925788497,0
4096,0.0322103500366,121.273131014,0
8192,0.0477433204651,163.63545568,0
16384,0.0853419303894,183.087023327,0
32768,0.159800052643,195.556881761,0
65536,0.649607181549,96.2119905309,0
131072,3.12680006027,39.9769724928,0
262144,7.17295408249,34.853143785,0
524288,13.9232516289,35.9111515993,0
1048576,27.7406454086,36.0481879664,0
2097152,66.979598999,29.859838367,0
4194304,48.0206012726,83.2975825791,0
8388608,96.0189461708,83.3168902496,0
16777216,192.128157616,83.2777464717,0
33554432,384.851610661,83.1489309479,0
67108864,769.096696377,83.2145038478,0
16,0.0213980674744,0.713091922006,1
32,0.0213980674744,1.42618384401,1
64,0.0214457511902,2.84602556976,1
128,0.0243544578552,5.01223690651,1
256,0.022304058075,10.9460181721,1
512,0.0225901603699,21.6147757256,1
1024,0.0185012817383,52.7835051546,1
2048,0.148546695709,13.1482224541,1
4096,0.23490190506,16.6292819081,1
8192,0.305998325348,25.5311854766,1
16384,0.490391254425,31.8623137322,1
32768,0.770998001099,40.5318819964,1
65536,1.45184993744,43.0485261516,1
131072,3.18504571915,39.2459044618,1
262144,7.22025632858,34.6248095113,1
524288,14.3022537231,34.9595252384,1
1048576,28.4765481949,35.1166157203,1
2097152,69.3070411682,28.857096859,1
4194304,48.1693506241,83.0403554994,1
8388608,96.1679458618,83.1878015934,1
16777216,192.277443409,83.2130889424,1
33554432,385.019254684,83.1127264693,1
67108864,769.272506237,83.1954859703,1
16,0.0203013420105,0.751614797416,2
32,0.0175952911377,1.73441734417,2
64,0.0180959701538,3.37285902503,2
128,0.0224947929382,5.42660307366,2
256,0.0198006629944,12.3299217339,2
512,0.031304359436,15.5978674791,2
1024,0.0398993492126,24.4756498357,2
2048,0.159955024719,12.2104635564,2
4096,0.223553180695,17.4734709113,2
8192,0.300049781799,26.0373460469,2
16384,0.486946105957,32.0877399138,2
32768,0.770449638367,40.560730311,2
65536,1.44975185394,43.1108260562,2
131072,3.17075252533,39.4228180854,2
262144,7.24595785141,34.5019947848,2
524288,14.1813993454,35.2574515266,2
1048576,28.2264471054,35.4277673086,2
2097152,68.54159832,29.1793604033,2
4194304,48.1231927872,83.1200044787,2
8388608,96.0774540901,83.266153082,2
16777216,192.099440098,83.2901959103,2
33554432,384.568810463,83.2100761408,2
67108864,768.370854855,83.2931124283,2
16,0.0168561935425,0.905233380481,3
32,0.0208497047424,1.46369353917,3
64,0.0192523002625,3.17027863777,3
128,0.0244975090027,4.98296836983,3
256,0.0213503837585,11.4349525405,3
512,0.0243067741394,20.0882785679,3
1024,0.0396013259888,24.6598434678,3
2048,0.156652927399,12.4678487178,3
4096,0.231695175171,16.859436098,3
8192,0.31019449234,25.18581146,3
16384,0.476098060608,32.8188692473,3
32768,0.780749320984,40.0256512047,3
65536,1.48675441742,42.0378774515,3
131072,3.15990447998,39.5581577835,3
262144,7.23520517349,34.5532702951,3
524288,14.2390012741,35.1148223372,3
1048576,28.3855438232,35.2291999839,3
2097152,68.4024095535,29.2387360775,3
4194304,48.1451034546,83.0821768567,3
8388608,96.0978031158,83.2485212004,3
16777216,192.111253738,83.2850740841,3
33554432,384.596502781,83.204084719,3
67108864,768.397843838,83.2901868651,3
16,0.0171542167664,0.889506601807,4
32,0.0116944313049,2.60958205912,4
64,0.0134587287903,4.53498671391,4
128,0.015652179718,7.79893373953,4
256,0.0151991844177,16.062745098,4
512,0.0256538391113,19.0334572491,4
1024,0.0406980514526,23.9953134153,4
2048,0.152397155762,12.816020025,4
4096,0.232195854187,16.823082452,4
8192,0.319695472717,24.4373182191,4
16384,0.489294528961,31.9337312706,4
32768,0.787496566772,39.6827126854,4
65536,1.49739980698,41.7390196718,4
131072,3.21029424667,38.9372407621,4
262144,7.30450153351,34.2254702601,4
524288,14.1013503075,35.4575972583,4
1048576,28.1591534615,35.5124312018,4
2097152,69.1118001938,28.9386182156,4
4194304,48.3029961586,82.8105980603,4
8388608,96.3016033173,83.0723448461,4
16777216,192.405152321,83.157856258,4
33554432,385.15714407,83.0829714383,4
67108864,769.390559196,83.1827207067,4
16,0.0224947929382,0.678325384208,5
32,0.027596950531,1.10583153348,5
64,0.0238537788391,2.55872063968,5
128,0.031054019928,3.93090211132,5
256,0.0284433364868,8.58340318525,5
512,0.0366568565369,13.3203252033,5
1024,0.0380516052246,25.664160401,5
2048,0.162696838379,12.0046893318,5
4096,0.227355957031,17.1812080537,5
8192,0.313293933868,24.9366462463,5
16384,0.491154193878,31.8128200772,5
32768,0.780689716339,40.0287071111,5
65536,1.47924423218,42.2513055251,5
131072,3.17679643631,39.3478154821,5
262144,7.25510120392,34.4585131169,5
524288,14.1547083855,35.323935074,5
1048576,28.2126545906,35.4450871253,5
2097152,68.0344581604,29.3968682059,5
4194304,48.3029961586,82.8105980603,5
8388608,96.3015556335,83.0723859793,5
16777216,192.405056953,83.157897476,5
33554432,385.145044327,83.0855815786,5
67108864,769.371652603,83.1847648447,5
